date,btc,fed,dxy,spread,liqAmount,liqType,lth,qqq
2020-03,4800,1.25,99.5,900,600,longs,62,180
2020-04,7000,0.25,99.8,800,120,mixed,63,200
2020-05,9500,0.25,99.2,700,80,mixed,63,230
2020-06,9200,0.25,97.4,650,90,mixed,64,245
2020-07,11000,0.25,93.5,600,110,mixed,64,265
2020-08,11700,0.25,92.8,550,95,mixed,64,285
2020-09,10800,0.25,94.2,530,130,longs,65,270
2020-10,13500,0.25,93.1,500,180,shorts,65,290
2020-11,18500,0.25,91.8,450,220,shorts,64,305
2020-12,28900,0.25,89.9,400,280,shorts,62,315
2021-01,33000,0.25,90.2,380,310,shorts,60,330
2021-02,45000,0.25,90.8,360,380,shorts,58,335
2021-03,58800,0.25,92.8,350,420,shorts,57,325
2021-04,57700,0.25,91.0,340,280,mixed,56,340
2021-05,37300,0.25,89.9,330,650,longs,58,335
2021-06,35000,0.25,91.9,340,340,longs,60,355
2021-07,41500,0.25,92.7,330,210,shorts,61,370
2021-08,47100,0.25,92.7,320,240,shorts,62,380
2021-09,43800,0.25,94.2,325,380,longs,63,360
2021-10,61300,0.25,93.9,310,290,shorts,60,385
2021-11,69000,0.25,95.1,305,320,shorts,56,398
2021-12,47200,0.25,96.0,320,520,longs,58,395
2022-01,38000,0.25,96.4,350,420,longs,60,355
2022-02,43200,0.25,96.7,360,280,mixed,61,345
2022-03,45500,0.50,98.3,380,190,mixed,62,365
2022-04,37600,0.75,103.0,420,380,longs,63,310
2022-05,31800,1.00,101.8,480,480,longs,64,295
2022-06,17600,1.75,105.2,580,730,longs,65,275
2022-07,23300,2.50,106.4,560,340,shorts,66,300
2022-08,20000,2.50,108.5,550,290,longs,66,315
2022-09,19400,3.25,112.2,600,350,longs,66,275
2022-10,20500,3.25,111.8,580,260,mixed,66,280
2022-11,17200,4.00,106.9,550,850,longs,66,295
2022-12,16500,4.50,103.5,520,320,longs,65,270
2023-01,23100,4.75,101.7,480,240,shorts,65,310
2023-02,23400,4.75,104.0,470,180,mixed,65,305
2023-03,28500,5.00,102.9,450,420,shorts,64,320
2023-04,29200,5.25,101.8,440,170,mixed,64,335
2023-05,27200,5.25,104.2,460,210,longs,64,330
2023-06,30400,5.25,103.0,445,190,mixed,64,365
2023-07,29800,5.50,101.2,430,160,mixed,63,380
2023-08,26100,5.50,103.7,450,270,longs,63,370
2023-09,26900,5.50,106.0,470,230,longs,63,360
2023-10,34500,5.50,106.7,460,280,shorts,62,365
2023-11,37700,5.50,104.1,430,310,shorts,62,395
2023-12,42300,5.50,101.4,400,340,shorts,61,415
2024-01,43100,5.50,103.2,390,210,mixed,60,430
2024-02,51900,5.50,104.3,380,290,shorts,59,445
2024-03,70700,5.50,104.0,360,380,shorts,58,465
2024-04,63500,5.50,105.8,375,310,longs,59,445
2024-05,68800,5.50,104.7,365,240,mixed,59,475
2024-06,61200,5.50,105.9,380,270,longs,60,485
2024-07,66500,5.50,104.4,370,320,shorts,60,500
2024-08,59700,5.50,103.0,385,1080,longs,60,490
2024-09,63800,5.00,100.8,360,210,shorts,60,510
2024-10,69300,5.00,103.9,350,285,shorts,60,515
2024-11,97400,4.75,106.5,330,427,shorts,59,540
2024-12,95600,4.50,107.8,325,1520,longs,59,565
2025-01,102800,4.50,108.3,320,320,shorts,59,580
2025-02,98500,4.50,106.2,325,280,longs,59.5,570
2025-03,85300,4.50,104.1,340,380,longs,60,545
2025-04,91200,4.50,102.7,330,240,shorts,60,560
2025-05,98700,4.50,101.5,320,290,shorts,60,575
2025-06,93400,4.50,105.3,335,320,longs,60,555
2025-07,101500,4.50,103.8,318,270,shorts,59.5,590
2025-08,97600,4.50,102.1,325,550,longs,59.5,580
2025-09,104200,4.50,100.9,312,1680,longs,59.5,600
2025-10,108600,4.50,100.3,305,100,mixed,59.5,610
